english,vietnamese,description
Hello,Xin chào,Câu đầu
Book,Sách,Một cuốn sách
Goodbye,Tạm biệt,Lời chia tay
Time,Thời gian,Khái niệm về thời gian
Person,Người,Người tham gia
Place,Địa điểm,Chỉ vị trí
Food,Thức ăn,Chất bổ dưỡng
Water,Nước,Liquid uống được
Car,Xe hơi,Phương tiện di chuyển
House,Nhà,Chỗ ở
School,Trường học,Nơi học tập
Chair,Ghế,Nơi ngồi
Table,Bàn,Mặt phẳng để làm việc
Window,Cửa sổ,Lỗ thông gió trong tường
Door,Cửa,Lối vào
Computer,Máy tính,Thiết bị điện tử
Phone,Điện thoại,Thiết bị liên lạc
City,Thành phố,Địa phương lớn
Country,Quốc gia,Vùng đất độc lập